Hotel Name,Locality,Price,Rating,Score,Reviews,Link
Hotel Red Castle - Karol Bagh - Where luxury meets comfort,"Karol bagh, New Delhi","RS 3,214",Very Good,8.5,633,https://www.booking.com/hotel/in/red-castle-new-delhi.html?label=gen173nr-10CAEoggI46AdIM1gEaGyIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4AvCmkcgGwAIB0gIkNzFhN2ZmNWEtZDhhYy00NDAhLTlhMWMtYjQ3YmVkMDY2MWUx2AIB4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&dest_id=-2106102&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=11&sr_order=popularity&srpvid=961c8f47a86b32b8ba1bcf088f10293a&srepoch=1761905636&all_sr_blocks=783447601_337820993_2_42_0_712406&highlighted_blocks=783447601_337820993_2_42_0_712406&matching_block_id=783447601_337820993_2_42_0_712406&sr_pri_blocks=783447601_337820993_2_42_0_712406_321400&from=searchresults
The Grand Orion - Kailash Colony,"Kailash Colony, New Delhi","RS 7,149",Good,7.9,175,https://www.booking.com/hotel/in/mapple-express.html?label=gen173nr-10CAEoggI46AdIM1gEaGyIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4AvCmkcgGwAIB0gIkNzFhN2ZmNWEtZDhhYy00NDAhLTlhMWMtYjQ3YmVkMDY2MWUx2AIB4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&dest_id=-2106102&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=12&hapos=12&sr_order=popularity&srpvid=961c8f47a86b32b8ba1bcf088f10293a&srepoch=1761905636&all_sr_blocks=79349702_406041624_2_42_0&highlighted_blocks=79349702_406041624_2_42_0&matching_block_id=79349702_406041624_2_42_0&sr_pri_blocks=79349702_406041624_2_42_0__714935&from=searchresults
Hotel Blue Pearl - Free Airport Pick up,"Paharganj, New Delhi (Chandni Chowk)","RS 2,520",Very Good,8.2,3442,https://www.booking.com/hotel/in/blue-pearl.html?label=gen173nr-10CAEoggI46AdIM1gEaGyIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4AvCmkcgGwAIB0gIkNzFhN2ZmNWEtZDhhYy00NDAhLTlhMWMtYjQ3YmVkMDY2MWUx2AIB4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&dest_id=-2106102&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=13&hapos=13&sr_order=popularity&srpvid=961c8f47a86b32b8ba1bcf088f10293a&srepoch=1761905636&all_sr_blocks=74201710_239092790_2_41_0_1172736&highlighted_blocks=74201710_239092790_2_41_0_1172736&matching_block_id=74201710_239092790_2_41_0_1172736&sr_pri_blocks=74201710_239092790_2_41_0_1172736_252000&from=searchresults
The IVY Grand Hotel - 5 Minutes from Connaught Place and New Delhi Railway Station With Free Secured Parking,"Paharganj, New Delhi (Chandni Chowk)","RS 3,600",Excellent,8.6,709,https://www.booking.com/hotel/in/the-ivy-grand.html?label=gen173nr-10CAEoggI46AdIM1gEaGyIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4AvCmkcgGwAIB0gIkNzFhN2ZmNWEtZDhhYy00NDAhLTlhMWMtYjQ3YmVkMDY2MWUx2AIB4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&dest_id=-2106102&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=14&hapos=14&sr_order=popularity&srpvid=961c8f47a86b32b8ba1bcf088f10293a&srepoch=1761905636&all_sr_blocks=788688401_338515679_2_42_0_799232&highlighted_blocks=788688401_338515679_2_42_0_799232&matching_block_id=788688401_338515679_2_42_0_799232&sr_pri_blocks=788688401_338515679_2_42_0_799232_359960&from=searchresults
The Prime Delhi - Luxe Collection Hotel,"Paharganj, New Delhi (Chandni Chowk)","RS 6,750",Very Good,8.0,3759,https://www.booking.com/hotel/in/the-prime-delhi.html?label=gen173nr-10CAEoggI46AdIM1gEaGyIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4AvCmkcgGwAIB0gIkNzFhN2ZmNWEtZDhhYy00NDAhLTlhMWMtYjQ3YmVkMDY2MWUx2AIB4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&dest_id=-2106102&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=15&hapos=15&sr_order=popularity&srpvid=961c8f47a86b32b8ba1bcf088f10293a&srepoch=1761905636&all_sr_blocks=784318701_337931716_2_42_0&highlighted_blocks=784318701_337931716_2_42_0&matching_block_id=784318701_337931716_2_42_0&sr_pri_blocks=784318701_337931716_2_42_0__675000&from=searchresults
"Hotel Bricks, Karol Bagh, New Delhi","Karol bagh, New Delhi","RS 2,399",Very Good,8.3,1002,https://www.booking.com/hotel/in/bricks-karol-bagh-new-delhi1.html?label=gen173nr-10CAEoggI46AdIM1gEaGyIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4AvCmkcgGwAIB0gIkNzFhN2ZmNWEtZDhhYy00NDAhLTlhMWMtYjQ3YmVkMDY2MWUx2AIB4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&dest_id=-2106102&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=16&hapos=16&sr_order=popularity&srpvid=961c8f47a86b32b8ba1bcf088f10293a&srepoch=1761905636&all_sr_blocks=816128401_344791928_2_2_0&highlighted_blocks=816128401_344791928_2_2_0&matching_block_id=816128401_344791928_2_2_0&sr_pri_blocks=816128401_344791928_2_2_0__239940&from=searchresults
Hotel Namaste Hindustan Just a Minute Away From New Delhi Railway Station and Connaught place,"Paharganj, New Delhi (Chandni Chowk)","RS 6,325",Excellent,8.9,1653,https://www.booking.com/hotel/in/namaste-hindustan-just-a-minute-away-from-new-delhi-railway-station.html?label=gen173nr-10CAEoggI46AdIM1gEaGyIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4AvCmkcgGwAIB0gIkNzFhN2ZmNWEtZDhhYy00NDAhLTlhMWMtYjQ3YmVkMDY2MWUx2AIB4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&dest_id=-2106102&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=17&hapos=17&sr_order=popularity&srpvid=961c8f47a86b32b8ba1bcf088f10293a&srepoch=1761905636&all_sr_blocks=1295786409_402836621_2_42_0_1209731&highlighted_blocks=1295786409_402836621_2_42_0_1209731&matching_block_id=1295786409_402836621_2_42_0_1209731&sr_pri_blocks=1295786409_402836621_2_42_0_1209731_632500&from=searchresults
Hotel Cosmo Near BLK Hospital Karol Bagh,"Karol bagh, New Delhi","RS 2,583",Very Good,8.4,541,https://www.booking.com/hotel/in/cosmo-karol-bagh.html?label=gen173nr-10CAEoggI46AdIM1gEaGyIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4AvCmkcgGwAIB0gIkNzFhN2ZmNWEtZDhhYy00NDAhLTlhMWMtYjQ3YmVkMDY2MWUx2AIB4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&dest_id=-2106102&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=18&hapos=18&sr_order=popularity&srpvid=961c8f47a86b32b8ba1bcf088f10293a&srepoch=1761905636&all_sr_blocks=1160608601_388767165_2_42_0_594292&highlighted_blocks=1160608601_388767165_2_42_0_594292&matching_block_id=1160608601_388767165_2_42_0_594292&sr_pri_blocks=1160608601_388767165_2_42_0_594292_258259&from=searchresults
Hotel Z Suites with FREE Airport Drop,"Aerocity, New Delhi (Aerocity)","RS 3,600",Good,7.7,195,https://www.booking.com/hotel/in/zsui-prime.html?label=gen173nr-10CAEoggI46AdIM1gEaGyIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4AvCmkcgGwAIB0gIkNzFhN2ZmNWEtZDhhYy00NDAhLTlhMWMtYjQ3YmVkMDY2MWUx2AIB4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&dest_id=-2106102&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=19&hapos=19&sr_order=popularity&srpvid=961c8f47a86b32b8ba1bcf088f10293a&srepoch=1761905636&all_sr_blocks=1174249001_395805158_2_42_0_1166222&highlighted_blocks=1174249001_395805158_2_42_0_1166222&matching_block_id=1174249001_395805158_2_42_0_1166222&sr_pri_blocks=1174249001_395805158_2_42_0_1166222_359955&from=searchresults
"Hotel The Prime Balaji Deluxe, City Centre, With Free Airport Pickup","Paharganj, New Delhi (Chandni Chowk)","RS 3,770",Very Good,8.0,1579,https://www.booking.com/hotel/in/the-prime-balaji-deluxe-new-delhi-railway-station.html?label=gen173nr-10CAEoggI46AdIM1gEaGyIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4AvCmkcgGwAIB0gIkNzFhN2ZmNWEtZDhhYy00NDAhLTlhMWMtYjQ3YmVkMDY2MWUx2AIB4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&dest_id=-2106102&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=20&hapos=20&sr_order=popularity&srpvid=961c8f47a86b32b8ba1bcf088f10293a&srepoch=1761905636&all_sr_blocks=117775902_420182366_2_41_0_903252&highlighted_blocks=117775902_420182366_2_41_0_903252&matching_block_id=117775902_420182366_2_41_0_903252&sr_pri_blocks=117775902_420182366_2_41_0_903252_377000&from=searchresults
IVA Premium Aerocity - Free Airport Pickup or Drop,"Aerocity, New Delhi (Aerocity)","RS 11,619",Good,7.9,143,https://www.booking.com/hotel/in/iva-hotels-aerocity.html?label=gen173nr-10CAEoggI46AdIM1gEaGyIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4AvCmkcgGwAIB0gIkNzFhN2ZmNWEtZDhhYy00NDAhLTlhMWMtYjQ3YmVkMDY2MWUx2AIB4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&dest_id=-2106102&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=21&hapos=21&sr_order=popularity&srpvid=961c8f47a86b32b8ba1bcf088f10293a&srepoch=1761905636&all_sr_blocks=1402245801_417892061_2_40_0_906205&highlighted_blocks=1402245801_417892061_2_40_0_906205&matching_block_id=1402245801_417892061_2_40_0_906205&sr_pri_blocks=1402245801_417892061_2_40_0_906205_1161930&from=searchresults
The Shanti Plaza - Traveler's choice awarded 2025,"Paharganj, New Delhi (Chandni Chowk)","RS 3,120",Excellent,8.6,558,https://www.booking.com/hotel/in/shanti-plaza.html?label=gen173nr-10CAEoggI46AdIM1gEaGyIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4AvCmkcgGwAIB0gIkNzFhN2ZmNWEtZDhhYy00NDAhLTlhMWMtYjQ3YmVkMDY2MWUx2AIB4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&dest_id=-2106102&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=22&hapos=22&sr_order=popularity&srpvid=961c8f47a86b32b8ba1bcf088f10293a&srepoch=1761905636&all_sr_blocks=213208105_96413850_2_41_0_825884&highlighted_blocks=213208105_96413850_2_41_0_825884&matching_block_id=213208105_96413850_2_41_0_825884&sr_pri_blocks=213208105_96413850_2_41_0_825884_312000&from=searchresults
"Airport Le Premier, New Delhi","Mahipalpur, New Delhi","RS 3,013",Very Good,8.4,524,https://www.booking.com/hotel/in/airport-le-premier-new-delhi.html?label=gen173nr-10CAEoggI46AdIM1gEaGyIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4AvCmkcgGwAIB0gIkNzFhN2ZmNWEtZDhhYy00NDAhLTlhMWMtYjQ3YmVkMDY2MWUx2AIB4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&dest_id=-2106102&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=23&hapos=23&sr_order=popularity&srpvid=961c8f47a86b32b8ba1bcf088f10293a&srepoch=1761905636&all_sr_blocks=1268942101_407314397_2_2_0&highlighted_blocks=1268942101_407314397_2_2_0&matching_block_id=1268942101_407314397_2_2_0&sr_pri_blocks=1268942101_407314397_2_2_0__301320&from=searchresults
The Pearl Plaza Hotel - Walking Distance From New Delhi Railway Station and Connaught Place,"Paharganj, New Delhi (Chandni Chowk)","RS 2,176",Excellent,8.7,314,https://www.booking.com/hotel/in/pearl-plaza-boutique.html?label=gen173nr-10CAEoggI46AdIM1gEaGyIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4AvCmkcgGwAIB0gIkNzFhN2ZmNWEtZDhhYy00NDAhLTlhMWMtYjQ3YmVkMDY2MWUx2AIB4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&dest_id=-2106102&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=24&hapos=24&sr_order=popularity&srpvid=961c8f47a86b32b8ba1bcf088f10293a&srepoch=1761905636&all_sr_blocks=1233265801_406266343_2_42_0_761394&highlighted_blocks=1233265801_406266343_2_42_0_761394&matching_block_id=1233265801_406266343_2_42_0_761394&sr_pri_blocks=1233265801_406266343_2_42_0_761394_217568&from=searchresults
Olive Serviced Apartments - New Friends Colony,"New Friends Colony, New Delhi","RS 5,183",Exceptional,9.5,28,https://www.booking.com/hotel/in/olive-new-friends-colony.html?label=gen173nr-10CAEoggI46AdIM1gEaGyIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4AvCmkcgGwAIB0gIkNzFhN2ZmNWEtZDhhYy00NDAhLTlhMWMtYjQ3YmVkMDY2MWUx2AIB4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&dest_id=-2106102&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=25&hapos=25&sr_order=popularity&srpvid=961c8f47a86b32b8ba1bcf088f10293a&srepoch=1761905636&all_sr_blocks=1286817020_401635938_2_0_0_1152824&highlighted_blocks=1286817020_401635938_2_0_0_1152824&matching_block_id=1286817020_401635938_2_0_0_1152824&sr_pri_blocks=1286817020_401635938_2_0_0_1152824_518275&from=searchresults
Hotel Chanchal Deluxe - New Delhi Train Station,"Paharganj, New Delhi (Chandni Chowk)","RS 1,349",Very Good,8.2,360,https://www.booking.com/hotel/in/chanchal-deluxe-delhi.html?label=gen173nr-10CAEoggI46AdIM1gEaGyIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4AvCmkcgGwAIB0gIkNzFhN2ZmNWEtZDhhYy00NDAhLTlhMWMtYjQ3YmVkMDY2MWUx2AIB4AIB&aid=304142&ucfs=1&arphpl=1&checkin=2025-11-01&checkout=2025-11-02&dest_id=-2106102&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=26&hapos=26&sr_order=popularity&srpvid=961c8f47a86b32b8ba1bcf088f10293a&srepoch=1761905636&all_sr_blocks=1393651101_411735866_2_0_0_1222285&highlighted_blocks=1393651101_411735866_2_0_0_1222285&matching_block_id=1393651101_411735866_2_0_0_1222285&sr_pri_blocks=1393651101_411735866_2_0_0_1222285_134925&from=searchresults
